"","x"
"1760",390.83
"1761",397.78
"1762",398.88
"1763",412.37
"1764",-174.72
"1765",31.64
"1766",406.6
"1767",167.51
"1768",371.64
"1769",111.29
"1770",394.77
"1771",167.02
"1772",396.83
"1773",407.71
"1774",399.56
"1775",403.82
"1776",399.08
"1777",404.87
"1778",117.59
"1779",384.33
"1780",396.06
"1781",401.32
"1782",392.78
"1783",407.55
"1784",51.53
"1785",351.54
"1786",386.96
"1787",142.35
"1788",408.97
"1789",347.12
"1790",395.25
"1791",408.56
"1792",407.86
"1793",404.32
"1794",395.49
"1795",396.18
"1796",410.71
"1797",405.25
"1798",390.5
"1799",405.99
"1800",407.97
"1801",403.59
"1802",58.12
"1803",381.24
"1804",-66.89
"1805",298.49
"1806",377.85
"1807",372.69
"1808",376.47
"1809",403
"1810",415.19
"1811",163.06
"1812",108.2
"1813",393.23
"1814",407.52
"1815",390.05
"1816",412.43
"1817",228.87
"1818",416.77
"1819",401.4
"1820",409.51
"1821",409.08
"1822",397.93
"1823",402.97
"1824",332.11
"1825",410.38
"1826",399.83
"1827",383.53
"1828",402.33
"1829",408.01
"1830",405.88
"1831",362.93
"1832",405.37
"1833",401.58
"1834",124.62
"1835",404.53
"1836",-543.9
"1837",350.67
"1838",408.34
"1839",408.01
"1840",407
"1841",383.05
"1842",153.57
"1843",410.13
"1844",383.6
"1845",409.56
"1846",390.05
"1847",402.91
"1848",159.59
"1849",414.58
"1850",242.85
"1851",397.24
"1852",388.62
"1853",397.58
"1854",384.47
"1855",403.53
"1856",-214.36
"1857",406.3
"1858",387.37
"1859",376.32
"1860",412.75
"1861",127.24
"1862",413.54
"1863",410.08
"1864",404.4
"1865",412.16
"1866",394.38
"1867",402.5
